Id,Type
25770070,onstreetBus
25830110,onstreetBus
25830280,onstreetBus
25830290,onstreetBus
25830360,onstreetBus
25839175,onstreetBus
29010010,onstreetBus
29010070,onstreetBus
29010170,onstreetBus
29010230,onstreetBus
29110300,onstreetBus
29110800,onstreetBus
29111100,onstreetBus
29120400,onstreetBus
29120500,onstreetBus
29121000,onstreetBus
29121100,onstreetBus
29130400,onstreetBus
29140100,onstreetBus
29210140,onstreetBus
29210600,onstreetBus
29211400,onstreetBus
29211800,onstreetBus
29213210,onstreetBus
29220100,onstreetBus
29220200,onstreetBus
29220400,onstreetBus
29230600,onstreetBus
29231000,onstreetBus
29300103,onstreetBus
29300201,onstreetBus
29300330,onstreetBus
29300341,onstreetBus
29300350,onstreetBus
29301201,onstreetBus
30000008,combiTramBus
30000014,combiTramBus
30000041,onstreetBus
30000042,onstreetBus
30000061,onstreetBus
30000126,onstreetBus
30000128,onstreetBus
30000134,onstreetBus
30000141,onstreetBus
30000144,onstreetBus
30000152,onstreetBus
30000196,onstreetBus
30000219,onstreetBus
30000235,onstreetBus
30000250,onstreetBus
30000258,onstreetBus
30000260,onstreetBus
30000330,onstreetBus
30000332,onstreetBus
30000336,onstreetBus
30000342,onstreetBus
30000351,onstreetBus
30000364,onstreetBus
30000436,onstreetBus
30000445,combiTramBus
30000449,onstreetTram
30000494,onstreetBus
30000527,onstreetBus
30000529,onstreetBus
30000550,onstreetBus
30000554,onstreetBus
30000556,onstreetBus
30000573,onstreetBus
30000971,onstreetBus
30000972,onstreetBus
30001004,onstreetBus
30001016,onstreetBus
30001026,onstreetBus
30001044,onstreetBus
30001060,onstreetBus
30001066,onstreetBus
30001069,onstreetBus
30001077,onstreetBus
30001082,onstreetBus
30001096,onstreetBus
30001102,onstreetBus
30001104,onstreetBus
30001106,onstreetBus
30001126,onstreetBus
30001128,onstreetBus
30001161,onstreetBus
30001181,onstreetBus
30001193,onstreetBus
30001197,onstreetBus
30001205,onstreetBus
30001208,onstreetBus
30001222,onstreetBus
30001277,onstreetBus
30001299,onstreetBus
30001346,onstreetBus
30001363,onstreetBus
30001369,onstreetBus
30001386,onstreetBus
30002015,onstreetBus
30002018,onstreetBus
30002066,onstreetBus
30002102,onstreetBus
30002150,onstreetTram
30002190,combiTramBus
30002291,onstreetBus
30002296,metroStation
30002342,onstreetBus
30003060,combiTramBus
30003104,onstreetBus
30003106,onstreetBus
30003115,onstreetBus
30003117,onstreetBus
30003176,onstreetTram
30003187,onstreetBus
30004008,onstreetTram
30004011,combiTramBus
30004013,onstreetBus
30004030,onstreetBus
30004032,onstreetBus
30004088,combiTramBus
30004112,combiTramBus
30004195,onstreetTram
30004270,onstreetBus
30004314,onstreetTram
30004315,onstreetBus
30004318,metroStation
